,name,kind,job,event,duration,container,experiment,iteration
144,mlrunner-structure-066159450-ft4jj,Pod,,scheduled-timestamp,1741903491.0,633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:mlrunner-arm,cpu-static,0
145,mlrunner-structure-066159450-ft4jj,Pod,,created-timestamp,1741903726.0,633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:mlrunner-arm,cpu-static,0
146,mlrunner-structure-066159450-ft4jj,Pod,,created,0,633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:mlrunner-arm,cpu-static,0
147,mlrunner-structure-066159450-ft4jj,Pod,,started-timestamp,1741903726.0,633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:mlrunner-arm,cpu-static,0
148,mlrunner-structure-066159450-ft4jj,Pod,,started,0,633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:mlrunner-arm,cpu-static,0
149,mlrunner-structure-066159450-ft4jj,Pod,,pulled,234.214966482,633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:mlrunner-arm,cpu-static,0
150,mlrunner-structure-085592883,Job,mlrunner,successfulcreate-timestamp,1741903491.0,,cpu-static,0
151,mlrunner-structure-085592883,Job,mlrunner,completed-timestamp,1741903838.0,,cpu-static,0
152,mlrunner-structure-085592883,Job,mlrunner,running,347,,cpu-static,0
153,mlrunner-structure-085592883-nx55c,Pod,,pulled-timestamp,1741903730.0,633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:mlrunner-arm,cpu-static,0
154,mlrunner-structure-085592883-nx55c,Pod,,pulling-timestamp,1741903492.0,633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:mlrunner-arm,cpu-static,0
155,mlrunner-structure-085592883-nx55c,Pod,,scheduled-timestamp,1741903491.0,633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:mlrunner-arm,cpu-static,0
156,mlrunner-structure-085592883-nx55c,Pod,,created-timestamp,1741903730.0,633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:mlrunner-arm,cpu-static,0
157,mlrunner-structure-085592883-nx55c,Pod,,created,0,633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:mlrunner-arm,cpu-static,0
158,mlrunner-structure-085592883-nx55c,Pod,,started-timestamp,1741903731.0,633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:mlrunner-arm,cpu-static,0
159,mlrunner-structure-085592883-nx55c,Pod,,started,1,633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:mlrunner-arm,cpu-static,0
160,mlrunner-structure-085592883-nx55c,Pod,,pulled,238.42924548,633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:mlrunner-arm,cpu-static,0
161,mlrunner-structure-061753916,Job,mlrunner,successfulcreate-timestamp,1741903491.0,,cpu-static,0
162,mlrunner-structure-061753916,Job,mlrunner,completed-timestamp,1741903831.0,,cpu-static,0
163,mlrunner-structure-061753916,Job,mlrunner,running,340,,cpu-static,0
